zona|ID
P-3.4.8|625
P-3.4.9|626
P-3.5.1|627
P-3.5.10|628
P-3.5.11|629
P-3.5.12|630
P-3.5.2|631
P-3.5.3|632
P-3.5.4|633
P-3.5.5|634
P-3.5.6|635
P-3.5.7|636
P-3.5.8|637
P-3.5.9|638
S-1.1.1|639
S-1.1.10|640
S-1.1.11|641
S-1.1.12|642
S-1.1.13|643
S-1.1.14|644
S-1.1.15|645
S-1.1.16|646
S-1.1.17|647
S-1.1.18|648
S-1.1.2|649
S-1.1.3|650
S-1.1.4|651
S-1.1.5|652
S-1.1.6|653
S-1.1.7|654
S-1.1.8|655
S-1.1.9|656
S-1.2.1|657
S-1.2.10|658
S-1.2.11|659
S-1.2.12|660
S-1.2.13|661
S-1.2.14|662
S-1.2.15|663
S-1.2.16|664
S-1.2.2|665
S-1.2.3|666
S-1.2.4|667
S-1.2.5|668
S-1.2.6|669
S-1.2.7|670
S-1.2.8|671
S-1.2.9|672
S-1.3.1|673
S-1.3.10|674
S-1.3.11|675
S-1.3.12|676
S-1.3.13|677
S-1.3.2|678
S-1.3.3|679
S-1.3.4|680
S-1.3.5|681
S-1.3.6|682
S-1.3.7|683
S-1.3.8|684
S-1.3.9|685
S-1.4.1|686
S-1.4.2|687
S-1.4.3|688
S-1.4.4|689
S-1.4.5|690
S-1.4.6|691
S-1.4.7|692
S-1.4.8|693
S-1.4.9|694
S-1.5.1|695
S-1.5.10|696
S-1.5.11|697
S-1.5.2|698
S-1.5.3|699
S-1.5.4|700
S-1.5.5|701
S-1.5.6|702
S-1.5.7|703
S-1.5.8|704
S-1.5.9|705
S-2.1.1|706
S-2.1.10|707
S-2.1.11|708
S-2.1.12|709
S-2.1.13|710
S-2.1.14|711
S-2.1.15|712
S-2.1.16|713
S-2.1.2|714
S-2.1.3|715
S-2.1.4|716
S-2.1.5|717
S-2.1.6|718
S-2.1.7|719
S-2.1.8|720
S-2.1.9|721
S-2.2.1|722
S-2.2.10|723
S-2.2.11|724
S-2.2.12|725
S-2.2.13|726
S-2.2.14|727
S-2.2.15|728
S-2.2.2|729
S-2.2.3|730
S-2.2.4|731
S-2.2.5|732
S-2.2.6|733
S-2.2.7|734
S-2.2.8|735
S-2.2.9|736
S-2.3.1|737
S-2.3.10|738
S-2.3.11|739
S-2.3.12|740
S-2.3.13|741
S-2.3.14|742
S-2.3.15|743
S-2.3.16|744
S-2.3.17|745
S-2.3.18|746
